都道府県,一次細分区域名称,一次細分区域コード,地点名称,地点コード,週間予報地域①名称,週間予報地域①コード,週間予報地域①の代表地点名称,週間予報地域①の代表地点コード,週間予報地域②名称,週間予報地域②コード,週間予報地域②の代表地点名称,週間予報地域②の代表地点コード
千葉県,北東部,120020,銚子,45147,千葉県,120000,銚子,45147,千葉県,120000,銚子,45147
千葉県,南部,120030,館山,45401,千葉県,120000,銚子,45147,千葉県,120000,銚子,45147
東京都,東京地方,130010,東京,44132,東京地方,130010,東京,44132,東京地方,130010,東京,44132
東京都,伊豆諸島北部,130020,大島,44172,伊豆諸島,130100,八丈島,44263,伊豆諸島北部,130020,大島,44172
東京都,伊豆諸島南部,130030,八丈島,44263,伊豆諸島,130100,八丈島,44263,伊豆諸島南部,130030,八丈島,44263
東京都,小笠原諸島,130040,父島,44301,小笠原諸島,130040,父島,44301,小笠原諸島,130040,父島,44301
神奈川県,東部,140010,横浜,46106,神奈川県,140000,横浜,46106,神奈川県,140000,横浜,46106
神奈川県,西部,140020,小田原,46166,神奈川県,140000,横浜,46106,神奈川県,140000,横浜,46106
新潟県,下越,150010,新潟,54232,新潟県,150000,新潟,54232,新潟県,150000,新潟,54232
新潟県,中越,150020,長岡,54501,新潟県,150000,新潟,54232,新潟県,150000,新潟,54232
新潟県,上越,150030,高田,54651,新潟県,150000,新潟,54232,新潟県,150000,新潟,54232
新潟県,佐渡,150040,相川,54157,新潟県,150000,新潟,54232,新潟県,150000,新潟,54232
富山県,東部,160010,富山,55102,富山県,160000,富山,55102,富山県,160000,富山,55102
富山県,西部,160020,伏木,55091,富山県,160000,富山,55102,富山県,160000,富山,55102
石川県,加賀,170010,金沢,56227,石川県,170000,金沢,56227,石川県,170000,金沢,56227
石川県,能登,170020,輪島,56052,石川県,170000,金沢,56227,石川県,170000,金沢,56227
福井県,嶺北,180010,福井,57066,福井県,180000,福井,57066,福井県,180000,福井,57066
福井県,嶺南,180020,敦賀,57248,福井県,180000,福井,57066,福井県,180000,福井,57066
山梨県,中・西部,190010,甲府,49142,山梨県,190000,甲府,49142,山梨県,190000,甲府,49142
山梨県,東部・富士五湖,190020,河口湖,49251,山梨県,190000,甲府,49142,山梨県,190000,甲府,49142
長野県,北部,200010,長野,48156,長野県,200000,長野,48156,北部,200010,長野,48156
長野県,中部,200020,松本,48361,長野県,200000,長野,48156,中部・南部,200100,松本,48361
長野県,南部,200030,飯田,48767,長野県,200000,長野,48156,中部・南部,200100,松本,48361
岐阜県,美濃地方,210010,岐阜,52586,岐阜県,210000,岐阜,52586,美濃地方,210010,岐阜,52586
岐阜県,飛騨地方,210020,高山,52146,岐阜県,210000,岐阜,52586,飛騨地方,210020,高山,52146
静岡県,中部,220010,静岡,50331,静岡県,220000,静岡,50331,静岡県,220000,静岡,50331
静岡県,伊豆,220020,網代,50281,静岡県,220000,静岡,50331,静岡県,220000,静岡,50331
静岡県,東部,220030,三島,50206,静岡県,220000,静岡,50331,静岡県,220000,静岡,50331
静岡県,西部,220040,浜松,50456,静岡県,220000,静岡,50331,静岡県,220000,静岡,50331
愛知県,西部,230010,名古屋,51106,愛知県,230000,名古屋,51106,愛知県,230000,名古屋,51106
愛知県,東部,230020,豊橋,51331,愛知県,230000,名古屋,51106,愛知県,230000,名古屋,51106
三重県,北中部,240010,津,53133,三重県,240000,津,53133,三重県,240000,津,53133
三重県,南部,240020,尾鷲,53378,三重県,240000,津,53133,三重県,240000,津,53133
滋賀県,南部,250010,大津,60216,滋賀県,250000,彦根,60131,南部,250010,大津,60216
滋賀県,北部,250020,彦根,60131,滋賀県,250000,彦根,60131,北部,250020,彦根,60131
京都府,南部,260010,京都,61286,京都府,260000,京都,61286,南部,260010,京都,61286
京都府,北部,260020,舞鶴,61111,京都府,260000,京都,61286,北部,260020,舞鶴,61111
大阪府,大阪府,270000,大阪,62078,大阪府,270000,大阪,62078,大阪府,270000,大阪,62078
兵庫県,南部,280010,神戸,63518,兵庫県,280000,神戸,63518,南部,280010,神戸,63518
兵庫県,北部,280020,豊岡,63051,兵庫県,280000,神戸,63518,北部,280020,豊岡,63051
奈良県,北部,290010,奈良,64036,奈良県,290000,奈良,64036,奈良県,290000,奈良,64036
奈良県,南部,290020,風屋,64227,奈良県,290000,奈良,64036,奈良県,290000,奈良,64036
和歌山県,北部,300010,和歌山,65042,和歌山県,300000,和歌山,65042,和歌山県,300000,和歌山,65042
和歌山県,南部,300020,潮岬,65356,和歌山県,300000,和歌山,65042,和歌山県,300000,和歌山,65042
鳥取県,東部,310010,鳥取,69122,鳥取県,310000,鳥取,69122,鳥取県,310000,鳥取,69122
鳥取県,中・西部,310020,米子,69076,鳥取県,310000,鳥取,69122,鳥取県,310000,鳥取,69122
島根県,東部,320010,松江,68132,島根県,320000,松江,68132,島根県,320000,松江,68132
島根県,西部,320020,浜田,68376,島根県,320000,松江,68132,島根県,320000,松江,68132
島根県,隠岐,320030,西郷,68022,島根県,320000,松江,68132,島根県,320000,松江,68132
岡山県,南部,330010,岡山,66408,岡山県,330000,岡山,66408,南部,330010,岡山,66408
岡山県,北部,330020,津山,66186,岡山県,330000,岡山,66408,北部,330020,津山,66186
広島県,南部,340010,広島,67437,広島県,340000,広島,67437,南部,340010,広島,67437
広島県,北部,340020,庄原,67116,広島県,340000,広島,67437,北部,340020,庄原,67116
山口県,西部,350010,下関,81428,山口県,350000,下関,81428,山口県,350000,下関,81428
山口県,中部,350020,山口,81286,山口県,350000,下関,81428,山口県,350000,下関,81428
山口県,東部,350030,柳井,81481,山口県,350000,下関,81428,山口県,350000,下関,81428
山口県,北部,350040,萩,81071,山口県,350000,下関,81428,山口県,350000,下関,81428
徳島県,北部,360010,徳島,71106,徳島県,360000,徳島,71106,徳島県,360000,徳島,71106
徳島県,南部,360020,日和佐,71266,徳島県,360000,徳島,71106,徳島県,360000,徳島,71106
香川県,香川県,370000,高松,72086,香川県,370000,高松,72086,香川県,370000,高松,72086
愛媛県,中予,380010,松山,73166,愛媛県,380000,松山,73166,愛媛県,380000,松山,73166
愛媛県,東予,380020,新居浜,73141,愛媛県,380000,松山,73166,愛媛県,380000,松山,73166
愛媛県,南予,380030,宇和島,73442,愛媛県,380000,松山,73166,愛媛県,380000,松山,73166
高知県,中部,390010,高知,74181,高知県,390000,高知,74181,高知県,390000,高知,74181
高知県,東部,390020,室戸岬,74372,高知県,390000,高知,74181,高知県,390000,高知,74181
高知県,西部,390030,清水,74516,高知県,390000,高知,74181,高知県,390000,高知,74181
福岡県,福岡地方,400010,福岡,82182,福岡県,400000,福岡,82182,福岡県,400000,福岡,82182
福岡県,北九州地方,400020,八幡,82056,福岡県,400000,福岡,82182,福岡県,400000,福岡,82182
福岡県,筑豊地方,400030,飯塚,82136,福岡県,400000,福岡,82182,福岡県,400000,福岡,82182
福岡県,筑後地方,400040,久留米,82306,福岡県,400000,福岡,82182,福岡県,400000,福岡,82182
佐賀県,南部,410010,佐賀,85142,佐賀県,410000,佐賀,85142,佐賀県,410000,佐賀,85142
佐賀県,北部,410020,伊万里,85116,佐賀県,410000,佐賀,85142,佐賀県,410000,佐賀,85142
長崎県,南部,420010,長崎,84496,長崎県,420000,長崎,84496,南部・北部・五島,420100,長崎,84496
長崎県,北部,420020,佐世保,84266,長崎県,420000,長崎,84496,南部・北部・五島,420100,長崎,84496
長崎県,壱岐・対馬,420030,厳原,84072,長崎県,420000,長崎,84496,壱岐・対馬,420030,厳原,84072
長崎県,五島,420040,福江,84536,長崎県,420000,長崎,84496,南部・北部・五島,420100,長崎,84496
熊本県,熊本地方,430010,熊本,86141,熊本県,430000,熊本,86141,熊本県,430000,熊本,86141
熊本県,阿蘇地方,430020,阿蘇乙姫,86111,熊本県,430000,熊本,86141,熊本県,430000,熊本,86141
熊本県,天草・芦北地方,430030,牛深,86491,熊本県,430000,熊本,86141,熊本県,430000,熊本,86141
熊本県,球磨地方,430040,人吉,86467,熊本県,430000,熊本,86141,熊本県,430000,熊本,86141
大分県,中部,440010,大分,83216,大分県,440000,大分,83216,大分県,440000,大分,83216
大分県,北部,440020,中津,83051,大分県,440000,大分,83216,大分県,440000,大分,83216
大分県,西部,440030,日田,83137,大分県,440000,大分,83216,大分県,440000,大分,83216
大分県,南部,440040,佐伯,83401,大分県,440000,大分,83216,大分県,440000,大分,83216
宮崎県,南部平野部,450010,宮崎,87376,宮崎県,450000,宮崎,87376,宮崎県,450000,宮崎,87376
宮崎県,北部平野部,450020,延岡,87141,宮崎県,450000,宮崎,87376,宮崎県,450000,宮崎,87376
宮崎県,南部山沿い,450030,都城,87426,宮崎県,450000,宮崎,87376,宮崎県,450000,宮崎,87376
宮崎県,北部山沿い,450040,高千穂,87041,宮崎県,450000,宮崎,87376,宮崎県,450000,宮崎,87376
鹿児島県,薩摩地方,460010,鹿児島,88317,鹿児島県（奄美地方除く）,460100,鹿児島,88317,鹿児島県（奄美地方除く）,460100,鹿児島,88317
鹿児島県,大隅地方,460020,鹿屋,88442,鹿児島県（奄美地方除く）,460100,鹿児島,88317,鹿児島県（奄美地方除く）,460100,鹿児島,88317
鹿児島県,種子島・屋久島地方,460030,種子島,88612,鹿児島県（奄美地方除く）,460100,鹿児島,88317,鹿児島県（奄美地方除く）,460100,鹿児島,88317
鹿児島県,奄美地方,460040,名瀬,88836,奄美地方,460040,名瀬,88836,奄美地方,460040,名瀬,88836
沖縄県,本島中南部,471010,那覇,91197,沖縄本島地方,471000,那覇,91197,沖縄本島地方,471000,那覇,91197
沖縄県,本島北部,471020,名護,91107,沖縄本島地方,471000,那覇,91197,沖縄本島地方,471000,那覇,91197
沖縄県,久米島,471030,久米島,91146,沖縄本島地方,471000,那覇,91197,沖縄本島地方,471000,那覇,91197
沖縄県,大東島地方,472000,南大東,92011,大東島地方,472000,南大東,92011,大東島地方,472000,南大東,92011
沖縄県,宮古島地方,473000,宮古島,93041,宮古島地方,473000,宮古島,93041,宮古島地方,473000,宮古島,93041
沖縄県,石垣島地方,474010,石垣島,94081,八重山地方,474000,石垣島,94081,八重山地方,474000,石垣島,94081
沖縄県,与那国島地方,474020,与那国島,94017,八重山地方,474000,石垣島,94081,八重山地方,474000,石垣島,94081
